C	D	E	F	G	H	I	J	K	L
60.7	71.7	61.6	68.2	65.2	59.2	82.5	77.0	60.1	58.6
61.2	70.2	64.3	60.1	58.7	65.6	80.6	81.9	60.4	60.7
66.2	75.6	63.2	58.2	63.1	62.1	86.4	77.1	57.2	59.2
64.6	71.2	66.7	60.1	62.2	60.6	79.4	79.1	60.5	60.6
58.1	76.0	62.7	59.1	57.2	62.7	78.6	84.1	61.1	58.2
58.6	69.5	62.1	63.2	60.5	65.2	79.5	83.1	58.7	64.2
62.6	71.1	65.2	63.6	63.1	64.6	84.9	83.1	63.2	60.7
59.7	74.5	61.2	62.2	62.2	62.2	93.0	80.6	61.2	61.2
64.6	70.6	65.6	60.6	58.3	61.9	80.1	81.5	60.7	63.6
61.2	71.0	60.6	62.4	59.7	56.6	85.1	79.4	59.6	57.7
62.6	71.8	63.1	65.0	58.7	65.6	78.5	81.1	59.2	59.2
61.2	70.0	65.1	64.9	64.7	64.6	80.0	83.9	64.2	64.7
56.7	76.1	62.2	61.2	58.7	59.0	87.6	79.1	60.2	61.0
64.2	70.0	62.2	60.2	59.7	63.0	81.3	79.5	58.2	64.2
59.1	73.0	62.4	60.2	58.7	59.5	81.8	79.0	63.7	59.1
55.6	77.0	59.2	61.2	60.5	61.1	81.0	81.5	56.6	58.7
64.2	70.0	60.6	66.6	60.7	63.7	81.6	81.5	60.7	65.1
59.2	75.2	59.6	59.6	61.1	63.5	80.8	76.6	57.7	64.0
66.2	70.7	56.6	60.7	61.7	59.2	82.9	79.4	58.7	60.2
60.5	69.6	62.1	60.2	59.2	59.2	83.7	77.0	60.1	64.0
60.2	75.5	57.6	58.2	58.1	56.7	83.6	76.6	62.1	59.6
57.6	70.1	61.2	67.7	62.2	60.7	79.2	86.3	65.0	62.0
61.3	71.5	61.1	61.2	60.6	61.2	86.2	84.5	62.5	64.1
61.2	70.5	56.2	60.5	63.7	65.6	84.3	80.6	59.4	61.1
63.7	70.6	62.6	61.2	61.3	61.5	79.4	74.7	58.7	64.6
57.2	71.0	60.7	58.6	58.7	58.1	77.0	81.0	61.7	62.9
62.2	70.8	65.7	67.0	68.5	62.7	83.7	85.5	61.2	62.6
59.7	71.4	60.7	62.9	65.2	63.1	79.7	79.1	61.2	61.6
59.7	70.0	58.6	61.6	58.7	62.7	85.4	83.5	60.2	64.1
64.1	72.1	62.6	56.6	62.0	61.9	79.2	84.6	59.6	62.2
61.7	71.2	64.2	61.2	60.1	60.2	78.3	80.0	59.7	65.1
61.2	71.7	61.7	63.7	58.5	59.2	86.6	88.8	60.2	59.6
61.2	77.2	58.0	69.5	63.6	56.2	78.5	85.3	59.1	58.2
57.7	70.4	59.0	61.0	57.7	65.7	88.0	80.6	56.1	63.7
61.7	70.7	63.2	64.5	61.7	64.9	84.1	85.5	62.5	60.1
63.7	72.2	65.1	59.6	62.1	57.7	79.5	80.6	61.2	64.5
63.7	78.4	64.6	65.1	61.6	60.6	82.3	77.5	64.5	65.6
61.9	70.4	58.7	62.6	62.2	59.1	83.6	84.6	60.7	64.4
62.2	68.0	63.2	59.6	61.3	58.2	83.4	83.0	58.2	59.8
61.1	68.1	59.2	57.7	59.9	66.8	83.9	81.4	58.1	59.7
62.2	71.5	63.1	61.7	60.4	57.2	78.1	82.6	58.2	65.6
65.2	76.4	64.4	61.6	63.2	64.2	78.5	83.6	67.6	63.0
58.0	76.4	59.2	60.5	58.7	63.2	80.6	82.4	59.4	60.1
62.6	69.1	63.1	64.3	62.6	64.4	82.1	84.6	60.0	64.7
58.1	68.7	60.1	62.6	62.6	60.5	80.1	77.8	61.7	63.7
64.6	68.0	59.2	63.6	59.5	65.7	81.9	78.9	60.2	67.7
63.1	70.1	67.5	64.2	64.0	63.4	77.1	81.4	66.1	60.6
62.1	76.6	59.4	60.7	59.1	63.2	79.0	86.2	61.6	63.3
59.6	72.1	58.7	68.1	64.7	59.7	83.5	82.0	58.6	61.6
63.2	69.1	59.1	61.6	58.7	61.7	81.4	81.6	59.2	62.6
62.2	72.1	59.2	62.2	61.2	65.1	87.7	79.5	60.7	64.2
65.1	65.1	64.1	62.6	65.6	62.1	87.5	80.5	64.7	61.7
61.5	75.1	66.1	59.3	62.1	57.2	75.5	83.5	63.5	63.1
60.6	72.2	59.8	63.2	64.2	60.1	88.1	81.6	62.2	59.2
56.8	72.1	64.6	60.1	62.2	57.8	79.6	77.6	61.7	61.1
64.2	70.6	57.7	58.7	60.1	66.1	82.1	81.0	60.1	60.6
65.9	76.1	68.1	65.7	61.2	63.7	80.3	79.1	63.6	66.5
60.2	74.1	58.7	61.0	67.2	59.2	79.6	84.0	62.6	64.9
62.7	76.1	59.6	65.7	62.2	59.6	81.9	83.0	59.2	59.3
62.2	71.2	59.7	60.5	62.9	60.6	79.0	84.3	61.1	59.7
60.0	69.3	59.6	60.2	60.7	59.7	80.6	80.6	58.9	63.7
66.7	70.6	66.1	60.7	63.1	65.9	84.0	78.1	59.7	62.7
59.2	73.2	60.4	59.1	61.7	63.2	78.4	82.8	59.7	64.7
55.1	74.1	61.2	60.5	59.1	60.5	85.3	82.0	60.7	59.2
60.2	68.6	60.2	62.1	64.2	62.1	76.5	82.1	63.7	60.7
57.1	68.2	58.1	60.7	61.7	63.1	80.1	83.9	59.1	63.1
60.7	74.2	65.1	62.1	63.6	66.7	85.5	84.5	63.2	62.1
66.6	69.2	66.2	67.0	66.1	63.2	78.0	78.6	57.7	65.9
63.2	76.9	58.1	62.0	62.7	60.2	86.4	80.1	62.7	56.7
63.4	70.2	60.7	64.1	63.2	57.2	82.5	83.0	61.2	57.7
62.0	68.6	62.2	58.7	63.2	62.2	78.1	80.0	61.6	62.2
