==> /var/local/nectar/log/Supervisor.log.flip <==
12/11/2015 15:56:52.784 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:56:54.147 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=2 memload=0
12/11/2015 15:56:55.648 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:56:56.880 | MatedPairService(30044) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairService still alive.
12/11/2015 15:56:59.154 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:57:01.042 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4020/4072, binlog inserts=0/47, binlog updates=64412/64737, binlog deletes=126/79, size of data=404, time to fill binlog= 10h 0mn
12/11/2015 15:57:01.158 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:57:02.159 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=1 memload=0
12/11/2015 15:57:06.161 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:57:09.271 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:57:09.930 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:57:12.435 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:57:15.440 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:57:20.458 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:57:21.814 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4010/4068, binlog inserts=0/34, binlog updates=63998/64744, binlog deletes=126/91, size of data=384, time to fill binlog= 10h 0mn
12/11/2015 15:57:22.153 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:57:22.656 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:57:25.540 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:57:31.874 | MysqlSupervision(1090) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:57:32.668 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:57:33.670 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:57:34.674 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:57:36.676 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:57:36.903 | MdsObsApiService(26500) | SYS | INT | FIL | RateValueProbe::getValue PassiveDbErrorRate, nb Err = 0, nb Mes = 0, rate = 0
12/11/2015 15:57:37.679 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:57:38.680 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:57:39.683 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:57:40.682 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:57:41.687 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:57:41.794 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:57:42.518 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=3994/4053, binlog inserts=0/21, binlog updates=63772/64567, binlog deletes=124/104, size of data=407, time to fill binlog= 10h 0mn
12/11/2015 15:57:42.685 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:57:43.683 | MatedPairSMPSService(30227) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairSMPSService still alive.
12/11/2015 15:57:44.688 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:57:44.689 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:57:46.692 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:57:48.826 | FwMySQLClientService(30047) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:57:49.779 | MPExternalIpAddService(30045) | ADM | INT | DBG | MPExternalIpAddService : set counter to 0
12/11/2015 15:57:55.701 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:57:57.087 | MatedPairService(30044) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairService still alive.
12/11/2015 15:57:58.042 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:58:02.209 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:58:03.257 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=3993/4042, binlog inserts=0/9, binlog updates=63762/64459, binlog deletes=122/116, size of data=388, time to fill binlog= 10h 0mn
12/11/2015 15:58:04.714 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:58:06.214 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:58:06.719 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:58:10.724 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:58:14.229 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:58:14.426 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:58:16.231 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:58:18.825 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:58:24.159 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4037/4033, binlog inserts=0/0, binlog updates=64547/64406, binlog deletes=126/125, size of data=402, time to fill binlog= 10h 0mn
12/11/2015 15:58:26.336 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:58:30.347 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:58:31.335 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:58:31.767 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:58:31.952 | MysqlSupervision(1090) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:58:37.018 | MdsObsApiService(26500) | SYS | INT | FIL | RateValueProbe::getValue PassiveDbErrorRate, nb Err = 0, nb Mes = 0, rate = 0
12/11/2015 15:58:40.846 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:58:43.799 | MatedPairSMPSService(30227) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairSMPSService still alive.
12/11/2015 15:58:44.851 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:58:44.852 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:58:45.124 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4035/4027, binlog inserts=14/1, binlog updates=64447/64351, binlog deletes=112/124, size of data=387, time to fill binlog= 10h 0mn
12/11/2015 15:58:48.108 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:58:49.041 | FwMySQLClientService(30047) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:58:56.359 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:58:56.361 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=6 cpuload=1 memload=0
12/11/2015 15:58:58.207 | MatedPairService(30044) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairService still alive.
12/11/2015 15:58:58.363 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=6 cpuload=0 memload=0
12/11/2015 15:59:03.369 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=1 memload=0
12/11/2015 15:59:03.370 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:59:04.484 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:59:05.372 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:59:07.314 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4287/4050, binlog inserts=132/14, binlog updates=68471/64748, binlog deletes=0/111, size of data=402, time to fill binlog= 10h 0mn
12/11/2015 15:59:07.374 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=0 memload=0
12/11/2015 15:59:07.375 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:59:08.376 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:59:15.179 | FwMySQLClientService(30047) | SYS | INT | DBG | Connected to mysql @localhost : 15306
12/11/2015 15:59:17.389 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:59:19.393 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:59:19.394 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
